Station,Code,Date,Time,Campaign,Responsible,Institution,River,Basin,Latitude,Longitude,Latitude Decimal,Longitude Decimal,Average Velocity (m/s),Flow (m3/s),Resistivity (Ohm.cm),Partial Pressure (mm Hg),pH,pH (mV),Specific Conductivity (T ref. 25°C) (uS/cm),Salinity (Sal),Temperature (°C),Dissolved Oxygen (mg/l O2),Oxygen Saturation (%),Turbidity (NTU),Total Solids (mg/l),Total Dissolved Solids (mg/l),Total Suspended Solids (mg/l),Color (u PtCo),Total Hardness (mg/l CaCO3),Phenolphthalein Alkalinity (mg/l CaCO3),Total Alkalinity (mg/l CaCO3),Chlorides (mg/l Cl-),Sulfates (mg/l SO4),Dissolved Calcium (mg/l Ca),Dissolved Magnesium (mg/l Mg),Dissolved Sodium (mg/l Na),Dissolved Potassium (mg/l K),Total Calcium (mg/l Ca),Total Magnesium (mg/l Mg),Total Sodium (mg/l Na),Total Potassium (mg/l K),Total Phosphorus (mg/l PO4),Dissolved Phosphorus (mg/l PO4),Ammoniacal Nitrogen (mg/l NH4),Nitrite (mg/l NO2),Nitrate (mg/l NO3),Total Kjeldahl Nitrogen (mg/l N),Biochemical Oxygen Demand (mg/l O2),Chemical Oxygen Demand (mg/l O2),Dissolved Organic Carbon (mg/l),Total Coliforms (CFU) (CFU/100 ml),Fecal Coliforms (CFU) (CFU/100 ml),Total Coliforms (MPN) (MPN/100 ml),Fecal Coliforms (MPN) (MPN/100 ml),Total Mesophilic Aerobes (CFU) (CFU/100 ml),Dissolved Bismuth (ug/l Bi),Total Bismuth (ug/l Bi),Dissolved Thallium (ug/l Tl),Total Thallium (ug/l Tl),Dissolved Chromium (ug/l Cr),Dissolved Manganese (ug/l Mn),Dissolved Nickel (ug/l Ni),Dissolved Copper (ug/l Cu),Dissolved Zinc (ug/l Zn),Dissolved Arsenic (ug/l As),Dissolved Cadmium (ug/l Cd),Dissolved Lead (ug/l Pb),Dissolved Silver (ug/l Ag),Dissolved Mercury (ug/l Hg),Dissolved Iron (ug/l Fe),Dissolved Boron (ug/l B),Dissolved Selenium (ug/l Se),Total Chromium (ug/l Cr),Total Manganese (ug/l Mn),Total Nickel (ug/l Ni),Total Copper (ug/l Cu),Total Zinc (ug/l Zn),Total Arsenic (ug/l As),Total Cadmium (ug/l Cd),Total Lead (ug/l Pb),Total Silver (ug/l Ag),Total Mercury (ug/l Hg),Total Iron (ug/l Fe),Total Boron (ug/l B),Total Selenium (ug/l Se),Cyanides (mg/l CN-),Free Cyanides (mg/l CN-),Sulfides (mg/l S),Phenols (mg/l C6H6O),Total Hydrocarbons (mg/l),Suspended Thallium (mg/kg Tl),Suspended Selenium (mg/kg Se),Suspended Zinc (mg/kg Zn),Suspended Lead (mg/kg Pb),Suspended Arsenic (mg/kg As),Suspended Bismuth (mg/kg Bi),Suspended Boron (mg/kg B),Suspended Cadmium (mg/kg Cd),Suspended Copper (mg/kg Cu),Suspended Chromium (mg/kg Cr),Suspended Iron (mg/kg Fe),Suspended Manganese (mg/kg Mn),Suspended Nickel (mg/kg Ni),Suspended Silver (mg/kg Ag),Year,Total Mesophilic Aerobes (MPN) (MPN/100 ml),Suspended Mercury (mg/kg Hg),Fluorides (mg/l F),pH in laboratory,Settleable Solids (ml/l),Total Coliforms (CFU/100 ml),Fecal Coliforms (CFU/100 ml),Total Mesophilic Aerobes (CFU/100 ml),Total Organic Carbon (mg/l),Total Mesophilic Aerobes (MPN/100 ml),Total Coliforms (MPN/100 ml),Fecal Coliforms (MPN/100 ml),Location,Month,Month_Name,Season,DO_Status
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2023-12-06,12:15,December 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,19 07 55.90,65 34 11.77,-19.1322,-65.5699,1.603,1.0,1262.0,145.9,8.389,-87.8,792.0,0.3,27.6,5.62,100.9,338.0,950.0,655.0,423.0,1.0,378.0,15.0,205.0,7.1,228.4,51.41,57.46,20.73,8.63,58.07,65.58,22.38,11.57,0.8,0.1,0.4,0.01,3.61,5.74,2.5,1.0,,,,,,,5.0,5.0,25.0,25.0,5.0,25.0,0.5,5.0,25.0,0.5,0.25,0.5,2.5,0.25,50.0,257.0,0.5,5.0,287.0,5.0,5.0,25.0,4.0,0.25,4.0,2.5,0.25,10396.0,368.0,0.5,,0.001,0.001,0.049,0.019,,,,,9.46,,262.41,,,,24576.83,678.49,11.82,,2023,,,,,,260.0,30.0,650.0,1.0,,,,Potosi,12,December,Summer (Wet),Oxic
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2023-12-06,10:45,December 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,19 07 56.34,65 34 19.25,-19.1323,-65.572,1.66,16.0,1234.0,149.8,8.33,-82.8,811.0,0.3,19.8,6.6,101.5,1650.0,4599.0,591.0,3281.0,24.0,216.0,0.05,125.0,87.9,138.4,50.39,15.96,74.54,15.35,86.5,38.82,86.13,19.11,0.9,0.3,2.0,0.31,7.78,5.04,3.0,6.0,,,,,,,5.0,5.0,25.0,25.0,5.0,25.0,0.5,5.0,25.0,15.0,0.25,0.5,2.5,0.25,50.0,1059.0,0.5,58.0,2807.0,63.0,81.0,1388.0,105.0,2.1,88.0,2.5,0.25,119988.0,1090.0,0.5,,0.001,0.002,0.055,0.019,,,423.04,22.14,27.43,,9.45,0.64,24.69,17.68,36570.56,855.53,19.2,,2023,,,,,,720.0,400.0,150.0,6.0,,,,Potosi,12,December,Summer (Wet),Oxic
Viña Quemada,BVQ-122,2023-10-19,11:15,October 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 2,"19° 24.' 26.85""","64° 51' 48.9""",-19.4075,-64.8636,0.697,16.0,653.0,130.7,7.897,-60.9,1531.0,0.8,20.2,5.71,80.3,1650.0,2550.0,1268.0,1233.0,,436.0,0.05,145.0,133.0,482.0,59.07,99.74,132.5,10.44,71.0,102.35,156.0,22.95,,,,,8.3,,2.5,4.0,,,,,,,5.0,5.0,25.0,25.0,5.0,81.0,3.0,5.0,25.0,5.0,0.25,0.5,2.5,0.25,50.0,666.0,0.5,107.0,3640.0,93.0,114.0,1400.0,75.0,3.9,106.0,2.5,0.25,159777.0,1245.0,4.0,,,0.0005,,,,3.24,1135.44,77.5,56.77,,469.59,3.16,92.46,86.78,129583.94,2886.46,72.99,,2023,,,,,,,,,,,,,Potosi,10,October,Spring (Transition),Oxic
Colavi - Canutillos,BC7-113,2023-10-18,14:10,October 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,"19° 19' 17.1""","65° 33' 7.0""",-19.3214,-65.5519,0.221,0.0,3470.0,136.35,4.31,150.6,326.0,0.1,14.8,6.6,101.2,59.7,259.0,204.0,24.0,,150.0,0.05,15.0,5.2,109.4,25.73,18.2,1.03,1.39,28.43,21.43,1.8,1.78,,,,,3.98,,2.5,1.0,,,,,,,5.0,5.0,25.0,25.0,5.0,3590.0,20.0,499.0,860.0,0.5,4.0,0.5,2.5,0.25,1149.0,25.0,0.5,5.0,3923.0,24.0,506.0,1088.0,4.0,16.4,2.0,2.5,0.25,10578.0,123.0,0.5,,,0.0005,,,,,9500.0,25.42,166.67,,5125.0,516.67,291.67,,392875.0,13875.0,166.67,,2023,,,,,,,,,,,,,Potosi,10,October,Spring (Transition),Oxic
Tarapaya,BTA-050,2023-10-18,8:35,October 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.77""","65° 47' 39.52""",-19.4719,-65.7943,0.353,0.0,772.0,126.3,8.06,-68.1,1295.0,0.6,12.2,6.46,89.8,205.3,904.0,700.0,161.0,,302.0,0.05,220.0,95.4,290.0,68.21,46.44,99.45,21.25,79.63,47.45,120.75,39.83,,,,,7.17,,54.0,75.0,,,,,,,5.0,5.0,25.0,25.0,5.0,777.0,8.0,5.0,1166.0,28.0,0.6,0.5,2.5,0.25,803.0,397.0,0.5,5.0,1131.0,10.0,108.0,3950.0,182.0,10.7,44.0,2.5,0.25,10458.0,462.0,2.0,,,0.0005,,,,12.42,17291.93,141.3,956.52,,403.73,62.73,670.81,,59968.94,2198.76,12.42,,2023,,,,,,,,,,,,,Potosi,10,October,Spring (Transition),Oxic
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2023-10-17,12:05,October 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,"19° 8' 39.59""","65° 33' 57.58""",-19.1443,-65.566,0.525,0.0,1636.0,149.7,8.54,-98.5,611.0,0.2,24.8,6.04,102.5,54.5,446.0,389.0,18.0,,310.0,40.0,150.0,10.8,161.1,35.72,52.36,16.47,5.92,40.62,52.97,55.64,12.73,,,,,5.08,,2.5,1.0,,,,,,,5.0,5.0,25.0,25.0,5.0,150.0,1.0,5.0,25.0,0.5,0.25,0.5,2.5,0.25,50.0,213.0,0.5,5.0,350.0,3.0,24.0,132.0,4.0,1.3,2.0,2.5,0.25,2804.0,380.0,0.5,,,0.0005,,,,,7333.33,,222.22,,9277.78,72.22,1333.33,,155777.78,11111.11,111.11,,2023,,,,,,,,,,,,,Potosi,10,October,Spring (Transition),Oxic
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2023-10-17,10:35,October 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,"19° 7' 55.43""","65° 34' 17.58""",-19.1321,-65.5715,0.647,2.0,845.0,176.2,8.59,-99.65,1184.0,0.5,19.4,7.85,118.6,47.5,730.0,675.0,15.0,,204.0,0.05,155.0,176.2,140.1,43.79,22.13,152.58,16.02,46.32,25.44,159.99,30.12,,,,,16.98,,2.5,3.0,,,,,,,5.0,5.0,25.0,25.0,5.0,60.0,1.0,5.0,25.0,32.0,0.25,0.5,2.5,0.25,50.0,1754.0,0.5,5.0,228.0,3.0,11.0,213.0,42.0,0.8,4.0,2.5,0.25,1895.0,1820.0,0.5,,,0.0005,,,,,14200.0,,666.67,,4400.0,53.33,733.33,,126333.33,11200.0,133.33,,2023,,,,,,,,,,,,,Potosi,10,October,Spring (Transition),Oxic
La Quiaca,ALQ-040,2023-08-08,13:05,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,La Quiaca,Unidad 5,"22° 5' 51,99""","65° 35' 9.63""",-22.0975,-65.586,0.423,0.0,1057.5,87.95,8.55,-96.6,946.5,0.4,15.4,4.23,63.7,186.0,628.0,510.0,80.0,53.0,240.0,0.05,270.0,47.6,122.2,45.91,20.6,92.4,15.83,50.42,21.07,123.0,17.82,3.6,3.2,30.9,0.03,9.5,3.7,35.0,49.0,,,,,,,5.0,5.0,25.0,25.0,5.0,25.0,2.0,5.0,25.0,11.0,0.25,0.5,2.5,0.25,50.0,732.0,0.5,5.0,25.0,4.0,16.0,97.0,15.0,0.25,6.0,2.5,0.25,5321.0,1173.0,0.5,0.025,,0.023,0.0005,,,,1212.5,,50.0,,5512.5,,200.0,,66512.5,,25.0,,2023,,,,,,150000.0,150000.0,420.0,20.0,,,,Potosi,8,August,Winter (Dry),Oxic
Chuquiago,BCH-060,2023-08-08,10:15,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,"21° 33' 40.58""","65° 38' 51.74""",-21.5613,-65.6477,,,855.0,156.4,8.68,-97.14,1169.0,0.5,9.4,8.52,104.2,56.4,1072.0,926.0,27.0,12.0,430.0,30.0,165.0,62.4,397.0,81.4,70.43,90.21,6.86,82.4,83.3,108.8,8.1,0.37,0.21,1.6,0.06,5.94,4.3,2.5,4.0,,,,,,,5.0,5.0,25.0,25.0,5.0,25.0,0.5,5.0,25.0,3.0,0.25,0.5,2.5,0.25,50.0,2248.0,0.5,5.0,25.0,0.5,5.0,25.0,4.0,0.25,2.0,2.5,0.25,1522.0,3031.0,0.5,0.025,,0.001,0.041,,,,,,37.04,,29000.0,,,,56370.37,,,,2023,,,,,,810.0,720.0,10.0,7.0,,,,Potosi,8,August,Winter (Dry),Oxic
La Angostura,BTP-090,2023-08-08,8:15,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tupiza,Unidad 5,"21° 30' 35.471""","65° 41' 57.899""",-21.5099,-65.6994,0.623,1.0,649.0,130.5,8.75,-100.35,1541.0,0.7,8.35,7.29,87.0,15.9,1501.0,1387.0,12.0,8.0,574.0,10.0,195.0,63.1,664.1,91.76,103.1,91.58,6.77,102.0,104.2,107.5,10.61,0.52,0.28,5.3,0.13,6.19,5.0,6.0,9.0,,,,,,,5.0,5.0,25.0,25.0,5.0,51.0,1.0,5.0,25.0,1.0,0.25,0.5,2.5,0.25,50.0,2123.0,0.5,5.0,58.0,7.0,5.0,25.0,3.0,0.25,1.0,2.5,0.25,227.0,2464.0,0.5,0.025,,0.005,0.083,,,,,,166.67,,28416.67,,,,18916.67,583.33,500.0,,2023,,,,,,810.0,540.0,16.0,8.0,,,,Potosi,8,August,Winter (Dry),Oxic
Cotagaita,BCO-070,2023-08-07,16:00,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Cotagaita,Unidad 4,"20° 49' 23.178""","65° 39' 18.726""",-20.8231,-65.6552,0.676,2.0,576.0,156.05,8.2,-73.94,1738.0,0.85,19.5,6.9,103.4,103.0,575.0,427.0,93.0,11.0,408.0,1.0,70.0,47.6,787.3,97.11,138.3,46.12,8.85,110.1,172.6,75.53,9.8,0.2,0.2,1.0,0.01,4.84,5.0,2.5,6.0,,,,,,,5.0,5.0,25.0,25.0,5.0,390.0,53.0,5.0,25.0,3.0,0.25,0.5,2.5,0.25,50.0,2252.0,0.5,5.0,399.0,57.0,5.0,124.0,13.0,0.8,6.0,2.5,0.25,2139.0,2610.0,0.5,0.025,,0.0005,0.011,,,,1333.33,,107.53,,3849.46,8.6,,,23000.0,96.77,43.01,,2023,,,,,,40.0,18.0,2.0,8.0,,,,Potosi,8,August,Winter (Dry),Oxic
Tumusla,BTU-080,2023-08-07,14:20,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,"20° 29' 11.946""","65° 37' 6.954""",-20.4867,-65.6186,0.672,5.0,1409.0,163.1,8.58,-94.1,710.0,0.3,16.7,7.62,107.0,118.0,677.0,516.0,84.0,59.0,272.0,2.0,105.0,43.1,211.6,53.71,28.53,38.19,7.29,56.51,47.37,55.9,8.1,0.2,0.05,0.4,0.01,4.59,2.9,2.5,7.0,,,,,,,5.0,5.0,25.0,25.0,5.0,25.0,1.0,5.0,25.0,4.0,0.25,0.5,2.5,0.25,50.0,824.0,0.5,5.0,25.0,2.0,5.0,25.0,5.0,0.25,2.0,2.5,0.25,3633.0,1205.0,0.5,0.025,,0.0005,0.002,,,,,,11.9,,4535.71,,,,43250.0,,11.9,,2023,,,,,,33.0,18.0,10.0,8.0,,,,Potosi,8,August,Winter (Dry),Oxic
Yocalla,BYO-025,2023-08-07,9:25,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 1,"19° 23' 51.252""","65° 54' 27.816""",-19.3976,-65.9077,0.553,3.0,1380.5,142.4,9.08,-117.1,724.0,0.3,6.2,8.41,100.3,40.9,192.0,151.0,20.0,39.0,132.0,1.0,70.0,161.4,36.6,32.57,4.21,60.37,5.63,33.17,5.72,95.2,6.53,0.3,0.3,0.6,0.02,4.96,5.7,6.0,9.0,,,,,,,5.0,5.0,25.0,25.0,5.0,25.0,0.5,5.0,25.0,13.0,0.25,0.5,2.5,0.25,50.0,803.0,0.5,5.0,25.0,0.5,5.0,25.0,13.0,0.25,0.5,2.5,0.25,699.0,1098.0,0.5,0.025,,0.0005,0.033,,,,,,0.0,,14750.0,,,,34950.0,,,,2023,,,,,,24.0,10.0,0.0,8.0,,,,Potosi,8,August,Winter (Dry),Oxic
Colavi - Canutillos,BC7-113,2023-08-06,14:30,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,"19° 19' 17.136""","65° 33' 6.954""",-19.3214,-65.5519,0.167,0.0,1883.5,137.2,3.69,172.43,531.5,0.2,13.0,6.9,101.6,78.2,442.0,320.0,30.0,8.0,192.0,0.05,0.05,6.2,208.1,15.44,45.5,1.54,1.09,44.35,63.04,4.49,1.56,0.05,0.05,0.26,0.01,7.66,18.34,11.0,14.0,,,,,,,5.0,5.0,25.0,25.0,5.0,5690.0,34.0,739.0,1864.0,0.5,8.0,3.0,2.5,0.25,5314.0,40.0,0.5,5.0,7153.0,34.0,749.0,2194.0,6.0,8.0,3.0,2.5,0.25,21235.0,50.0,0.5,0.025,,0.0005,0.031,,,,11000.0,63.67,200.0,,333.33,0.0,333.33,,530700.0,48766.67,0.0,,2023,,,,,,,,,10.0,,,,Potosi,8,August,Winter (Dry),Oxic
Viña Quemada,BVQ-122,2023-08-05,13:00,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 2,"19° 24' 27.648""","64° 51' 47.184""",-19.4077,-64.8631,0.532,9.0,774.0,199.6,8.73,-103.4,1293.0,0.6,17.1,9.48,125.4,17.4,884.0,834.0,2.0,14.0,326.0,20.0,150.0,207.6,196.1,56.75,25.95,135.5,9.04,60.12,54.3,168.4,11.79,0.4,0.12,0.21,0.09,7.91,9.24,21.0,28.0,,,,,,,5.0,5.0,25.0,25.0,5.0,25.0,1.0,5.0,25.0,20.0,0.25,0.5,2.5,0.25,50.0,688.0,0.5,5.0,25.0,7.0,5.0,56.0,28.0,0.25,1.0,2.5,0.25,412.0,1006.0,0.5,0.025,,0.0005,0.017,,,,28000.0,,4000.0,,159000.0,,,,206000.0,,3000.0,,2023,,,,,,,,,14.0,,,,Potosi,8,August,Winter (Dry),Oxic
San Antonio - Potosí,BSA-030,2023-08-03,16:05,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Aljamayu,Unidad 1,"19° 34' 41.544""","65° 48' 12""",-19.5782,-65.8033,0.437,0.0,697.0,108.1,8.014,-62.3,1434.0,0.7,13.8,5.35,79.2,473.0,4013.0,1650.0,2263.0,520.0,196.0,0.05,270.0,117.2,284.4,60.01,29.5,126.0,37.16,64.18,30.65,135.0,43.09,0.8,0.3,61.1,0.01,13.43,11.34,240.0,342.0,,,,,,,5.0,5.0,25.0,25.0,5.0,1487.0,18.0,12.0,3294.0,71.0,0.6,1.0,2.5,0.25,7286.0,265.0,0.5,5.0,1588.0,18.0,147.0,6755.0,157.0,16.8,85.0,2.5,0.25,15850.0,281.0,0.5,0.025,,0.08,0.11,,,,1529.39,21.14,38.0,,7.07,7.16,59.66,,3784.36,44.63,0.0,,2023,,,,,,150000.0,150000.0,40.0,103.0,,,,Potosi,8,August,Winter (Dry),Oxic
Tarapaya,BTA-050,2023-08-03,14:15,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,19 28 18.726,65 47 39.402,-19.4719,-65.7943,0.582,1.0,1104.0,125.0,7.782,-49.5,905.0,0.4,13.0,6.29,89.0,90.4,575.0,427.0,49.0,39.0,268.0,0.05,120.0,67.9,227.4,60.71,8.62,47.91,13.72,61.53,8.82,72.74,16.45,0.9,0.5,18.1,0.01,8.02,12.74,45.0,58.0,,,,,,,5.0,5.0,25.0,25.0,5.0,684.0,9.0,12.0,1555.0,11.0,4.0,0.5,2.5,0.25,50.0,293.0,0.5,5.0,710.0,13.0,49.0,1968.0,123.0,5.9,23.0,2.5,0.25,7429.0,368.0,0.5,0.025,,0.003,0.12,,,,8428.57,189.39,2285.71,,1530.61,38.78,755.1,,151612.24,530.61,81.63,,2023,,,,,,310.0,233.0,2.0,22.0,,,,Potosi,8,August,Winter (Dry),Oxic
Potosí - Naciente río La Ribera,BNR-010,2023-08-03,8:55,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,De la Ribera,Unidad 1,"19° 35' 51.756""","65° 43' 53.796""",-19.5977,-65.7316,,,4250.0,102.7,7.7,-43.8,235.95,0.0,1.7,6.81,80.5,3.64,783.0,765.0,1.0,31.0,142.0,0.05,110.0,9.7,12.8,27.4,2.95,10.58,2.41,35.67,3.16,11.56,2.98,0.2,0.1,0.2,0.01,4.59,11.34,11.0,14.0,,,,,,,5.0,5.0,25.0,25.0,5.0,897.0,0.5,5.0,25.0,4.0,0.25,0.5,2.5,0.25,1364.0,175.0,0.5,5.0,950.0,0.5,5.0,25.0,5.0,0.25,1.0,2.5,0.25,1788.0,187.0,0.5,0.025,,0.0005,,,,,,,1000.0,,12000.0,,,,424000.0,53000.0,,,2023,,,,,,0.0,0.0,0.0,10.0,,,,Potosi,8,August,Winter (Dry),Oxic
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2023-08-02,14:05,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,19 8 50.22,65 33 51.798,-19.1473,-65.5644,0.677,0.0,1801.0,150.2,8.55,-94.4,555.0,0.2,20.2,6.57,101.8,97.3,491.0,395.0,40.0,0.025,284.0,30.0,150.0,5.9,166.2,34.08,38.59,13.17,4.3,37.11,55.49,14.75,9.66,0.2,0.05,0.15,0.01,3.12,10.64,6.0,8.0,,,,,,,5.0,5.0,25.0,25.0,5.0,840.0,3.0,5.0,25.0,0.5,0.8,0.5,2.5,0.25,50.0,145.0,0.5,5.0,850.0,4.0,65.0,306.0,2.0,2.4,2.0,2.5,0.25,4019.0,241.0,0.5,0.025,,0.0005,0.006,,,,7650.0,,50.0,,2400.0,40.0,1625.0,,100475.0,250.0,25.0,,2023,,,,,,22.0,1.0,0.0,8.0,,,,Potosi,8,August,Winter (Dry),Oxic
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2023-08-02,12:45,August 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,"19° 7' 57.45""","65° 34' 19.746""",-19.1326,-65.5722,0.781,5.0,992.0,159.0,8.43,-84.9,1008.0,0.4,12.1,8.2,105.4,57.9,695.0,608.0,40.0,22.0,192.0,0.05,135.0,333.4,111.7,30.45,16.04,143.2,8.0,39.8,17.59,230.0,15.64,0.6,0.5,2.61,1.2,15.63,9.94,8.0,10.0,,,,,,,5.0,5.0,25.0,25.0,5.0,232.0,3.0,5.0,144.0,25.0,0.25,0.5,2.5,0.25,50.0,1835.0,0.5,5.0,268.0,10.0,12.0,576.0,54.0,1.8,8.0,2.5,0.25,1941.0,2368.0,0.5,0.025,,0.0005,0.031,,,,10800.0,0.0,725.0,,13325.0,45.0,300.0,,48525.0,900.0,175.0,,2023,,,,,,0.0,0.0,0.0,9.0,,,,Potosi,8,August,Winter (Dry),Oxic
Colavi - Canutillos,BC7-113,2023-01-23,12:45,January 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,"19° 19' 16.83""","65° 33' 6.534""",-19.3213,-65.5518,,,1436.0,132.9,3.38,193.85,695.5,0.3,15.6,6.34,98.85,155.3,492.0,422.0,70.0,,209.6,0.05,0.05,8.25,247.9,17.84,23.2,1.71,1.35,18.67,39.6,3.48,3.36,,,,,1.9,,2.5,1.0,,,,,,,5.0,5.0,,,1.0,7460.0,5.0,549.0,1940.0,5.0,7.0,0.5,0.5,,5980.0,100.0,5.0,6.0,8770.0,5.0,720.0,2050.0,5.0,8.5,6.0,0.5,,27100.0,100.0,5.0,,,,,,,,1571.43,66.43,,,,21.43,2442.86,85.71,301714.29,18714.29,,,2023,,,,,,,,,,,,,Potosi,1,January,Summer (Wet),Oxic
Tarapaya,BTA-050,2023-01-23,9:10,January 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.798""","65° 47' 39.45""",-19.4719,-65.7943,0.431,0.0,640.0,116.0,7.84,-52.75,1562.0,0.8,12.4,5.91,82.7,339.5,1511.0,1128.0,383.0,,500.0,0.05,157.5,102.44,432.3,115.5,21.3,112.67,19.34,116.3,47.3,250.01,49.06,,,,,2.3,,49.0,63.0,,,,,,,5.0,5.0,,,1.0,2230.0,5.0,46.0,2170.0,44.0,7.0,0.5,0.5,,50.0,340.0,5.0,1.0,3570.0,5.0,233.0,17300.0,150.0,41.0,141.0,0.5,,33800.0,430.0,5.0,,,,,,,,39503.92,317.65,276.76,,234.99,88.77,488.25,,88250.65,3498.69,,,2023,,,,,,,,,,,,,Potosi,1,January,Summer (Wet),Oxic
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2023-01-22,17:26,January 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,19 8 13.65,65 34 6.102,-19.1371,-65.5684,,,2045.0,,8.52,-92.89,485.0,0.5,22.5,6.02,99.45,17.17,380.0,364.0,16.0,,234.0,10.0,140.0,5.16,115.5,31.8,33.3,7.61,3.7,35.22,62.88,14.6,8.15,,,,,0.2,,2.5,1.0,,,,,,,5.0,5.0,,,1.0,170.0,5.0,1.0,10.0,5.0,0.1,0.5,0.5,,50.0,100.0,5.0,1.0,200.0,5.0,48.0,10.0,103.0,0.1,0.5,0.5,,900.0,100.0,5.0,,,,,,,,,,6437.5,,,,3000.0,,56250.0,1875.0,,,2023,,,,,,,,,,,,,Potosi,1,January,Summer (Wet),Oxic
