Station,Campaign,Date,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,DO_mg_per_L,DO_Status,pH,Fe_%,Mn_mg_per_kg,Al_%,S_%,Organic_Matter_%
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,May 2018,2018-05-21,Lead,18.1,10.0,0.01,1810.0,3.2576785748691846,6.49,Oxic,8.3,2.79,683.0,1.37,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,May 2018,2018-05-21,Zinc,80.9,135.0,0.135,599.2592592592592,2.777614753117266,6.49,Oxic,8.3,2.79,683.0,1.37,0.5,0.4
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,September 2019,2019-09-24,Arsenic,116.0,10.0,0.01,11600.0,4.064457989226918,5.8,Oxic,8.7,2.35,526.0,0.86,0.5,1.37
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,September 2019,2019-09-24,Cadmium,1.5,10.0,0.01,150.0,2.1760912590556813,5.8,Oxic,8.7,2.35,526.0,0.86,0.5,1.37
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,September 2019,2019-09-24,Lead,47.9,10.0,0.01,4790.0,3.680335513414563,5.8,Oxic,8.7,2.35,526.0,0.86,0.5,1.37
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,September 2019,2019-09-24,Zinc,377.0,10.0,0.01,37700.0,4.576341350205793,5.8,Oxic,8.7,2.35,526.0,0.86,0.5,1.37
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,September 2019,2019-09-24,Arsenic,148.0,10.0,0.01,14800.0,4.1702617153949575,5.8,Oxic,8.7,2.0,444.0,0.5,0.5,1.37
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,September 2019,2019-09-24,Cadmium,0.15,10.0,0.01,15.0,1.1760912590556813,5.8,Oxic,8.7,2.0,444.0,0.5,0.5,1.37
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,September 2019,2019-09-24,Lead,17.4,10.0,0.01,1739.9999999999998,3.2405492482825995,5.8,Oxic,8.7,2.0,444.0,0.5,0.5,1.37
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,September 2019,2019-09-24,Zinc,58.4,10.0,0.01,5840.0,3.7664128471123997,5.8,Oxic,8.7,2.0,444.0,0.5,0.5,1.37
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,September 2019,2019-09-24,Arsenic,36.5,10.0,0.01,3650.0,3.5622928644564746,5.8,Oxic,8.7,1.89,390.0,0.86,0.5,1.37
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,September 2019,2019-09-24,Cadmium,0.38,10.0,0.01,38.0,1.5797835966168101,5.8,Oxic,8.7,1.89,390.0,0.86,0.5,1.37
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,September 2019,2019-09-24,Lead,17.8,10.0,0.01,1780.0,3.250420002308894,5.8,Oxic,8.7,1.89,390.0,0.86,0.5,1.37
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,September 2019,2019-09-24,Zinc,83.5,10.0,0.01,8350.0,3.921686475483602,5.8,Oxic,8.7,1.89,390.0,0.86,0.5,1.37
