Station,Campaign,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,pH,Clay_%,Sand_%,Organic_Matter_%,Location
Villamontes,September 2019,Lead,12.7,58.0,0.058,218.96551724137927,8.3,2.0,85.72,0.73,Bolivia (Non-Mining)
Villamontes,September 2019,Zinc,39.4,110.0,0.11,358.1818181818182,8.3,2.0,85.72,0.73,Bolivia (Non-Mining)
Villamontes,September 2019,Arsenic,4.1,27.0,0.027,151.85185185185185,8.3,2.0,85.72,0.73,Bolivia (Non-Mining)
Villamontes,September 2019,Cadmium,0.07,10.0,0.01,7.000000000000001,8.3,2.0,85.72,0.73,Bolivia (Non-Mining)
Villamontes,September 2019,Lead,10.9,58.0,0.058,187.9310344827586,8.3,2.0,85.72,0.73,Bolivia (Non-Mining)
Villamontes,September 2019,Zinc,28.8,110.0,0.11,261.8181818181818,8.3,2.0,85.72,0.73,Bolivia (Non-Mining)
Villamontes,May 2019,Arsenic,5.8,10.0,0.01,580.0,8.3,4.0,91.9,0.57,Bolivia (Non-Mining)
Villamontes,May 2019,Cadmium,0.1,10.0,0.01,10.0,8.3,4.0,91.9,0.57,Bolivia (Non-Mining)
Villamontes,May 2019,Lead,11.2,10.0,0.01,1120.0,8.3,4.0,91.9,0.57,Bolivia (Non-Mining)
Villamontes,May 2019,Zinc,38.8,136.0,0.136,285.2941176470588,8.3,4.0,91.9,0.57,Bolivia (Non-Mining)
Villamontes,May 2019,Arsenic,4.1,10.0,0.01,409.99999999999994,8.3,4.0,91.9,0.57,Bolivia (Non-Mining)
Villamontes,May 2019,Cadmium,0.04,10.0,0.01,4.0,8.3,4.0,91.9,0.57,Bolivia (Non-Mining)
Villamontes,May 2019,Lead,6.2,10.0,0.01,620.0,8.3,4.0,91.9,0.57,Bolivia (Non-Mining)
Villamontes,May 2019,Zinc,20.9,136.0,0.136,153.67647058823528,8.3,4.0,91.9,0.57,Bolivia (Non-Mining)
Villamontes,May 2019,Arsenic,6.1,10.0,0.01,610.0,8.3,4.0,94.9,0.55,Bolivia (Non-Mining)
Villamontes,May 2019,Cadmium,0.07,10.0,0.01,7.000000000000001,8.3,4.0,94.9,0.55,Bolivia (Non-Mining)
Villamontes,May 2019,Lead,11.5,10.0,0.01,1150.0,8.3,4.0,94.9,0.55,Bolivia (Non-Mining)
Villamontes,May 2019,Zinc,36.6,136.0,0.136,269.11764705882354,8.3,4.0,94.9,0.55,Bolivia (Non-Mining)
Villamontes,May 2019,Arsenic,4.2,10.0,0.01,420.0,8.3,4.0,94.9,0.55,Bolivia (Non-Mining)
Villamontes,May 2019,Cadmium,0.07,10.0,0.01,7.000000000000001,8.3,4.0,94.9,0.55,Bolivia (Non-Mining)
Villamontes,May 2019,Lead,6.1,10.0,0.01,610.0,8.3,4.0,94.9,0.55,Bolivia (Non-Mining)
Villamontes,May 2019,Zinc,22.1,136.0,0.136,162.5,8.3,4.0,94.9,0.55,Bolivia (Non-Mining)
Villamontes,March 2019,Arsenic,8.9,29.0,0.029,306.8965517241379,8.4,2.0,96.5,0.65,Bolivia (Non-Mining)
Villamontes,March 2019,Cadmium,0.09,10.0,0.01,9.0,8.4,2.0,96.5,0.65,Bolivia (Non-Mining)
Villamontes,March 2019,Lead,14.5,115.0,0.115,126.08695652173913,8.4,2.0,96.5,0.65,Bolivia (Non-Mining)
Villamontes,March 2019,Zinc,55.3,376.0,0.376,147.0744680851064,8.4,2.0,96.5,0.65,Bolivia (Non-Mining)
Villamontes,March 2019,Arsenic,6.2,29.0,0.029,213.79310344827584,8.4,2.0,96.5,0.65,Bolivia (Non-Mining)
Villamontes,March 2019,Cadmium,0.06,10.0,0.01,6.0,8.4,2.0,96.5,0.65,Bolivia (Non-Mining)
Villamontes,March 2019,Lead,9.2,115.0,0.115,79.99999999999999,8.4,2.0,96.5,0.65,Bolivia (Non-Mining)
Villamontes,March 2019,Zinc,37.3,376.0,0.376,99.20212765957446,8.4,2.0,96.5,0.65,Bolivia (Non-Mining)
Villamontes,December 2020,Arsenic,6.0,25.0,0.025,240.0,8.09,1.0,95.17,0.2,Bolivia (Non-Mining)
