Station,Campaign,Metal,Sediment_Median_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,pH,Clay_%,Sand_%,Organic_Matter_%,DO_mg_per_L,Fe_%,Mn_mg_per_kg,Al_%,S_%,Ca_%,P_%,Location
Colavi - Canutillos,November 2021,Zinc,125.5,1400.0,1.4,89.64285714285715,1.952515690138819,4.44,1.5,73.61,0.8,5.88,3.885,761.0,0.765,0.5,0.060000000000000005,0.029,Potosí (Mining Zone)
Colavi - Canutillos,October 2017,Arsenic,15.1,10.0,0.01,1510.0,3.1789769472931693,4.4,1.0,89.93,4.7,6.25,3.89,731.0,1.37,0.5,0.08,0.032,Potosí (Mining Zone)
Colavi - Canutillos,October 2017,Cadmium,0.11,1.0,0.001,110.0,2.041392685158225,4.4,1.0,89.93,4.7,6.25,3.89,731.0,1.37,0.5,0.08,0.032,Potosí (Mining Zone)
Colavi - Canutillos,October 2017,Lead,19.6,1.0,0.001,19600.0,4.292256071356476,4.4,1.0,89.93,4.7,6.25,3.89,731.0,1.37,0.5,0.08,0.032,Potosí (Mining Zone)
Colavi - Canutillos,October 2017,Zinc,85.6,390.0,0.39,219.48717948717947,2.341409157650654,4.4,1.0,89.93,4.7,6.25,3.89,731.0,1.37,0.5,0.08,0.032,Potosí (Mining Zone)
Colavi - Canutillos,October 2023,Arsenic,108.0,4.0,0.004,27000.0,4.431363764158987,2.9,0.0,64.54,6.1,6.6,8.628,335.5,,,,,Potosí (Mining Zone)
Colavi - Canutillos,October 2023,Cadmium,0.39149999999999996,16.4,0.016399999999999998,23.871951219512194,1.3778879183462642,2.9,0.0,64.54,6.1,6.6,8.628,335.5,,,,,Potosí (Mining Zone)
Colavi - Canutillos,October 2023,Lead,39.35,2.0,0.002,19675.0,4.293914741031102,2.9,0.0,64.54,6.1,6.6,8.628,335.5,,,,,Potosí (Mining Zone)
Colavi - Canutillos,October 2023,Zinc,100.25,1088.0,1.088,92.14154411764706,1.964455485930059,2.9,0.0,64.54,6.1,6.6,8.628,335.5,,,,,Potosí (Mining Zone)
Colavi - Canutillos,September 2019,Arsenic,38.1,10.0,0.01,3810.0,3.5809249756756194,3.7,2.0,78.98,1.83,7.08,3.68,519.0,0.83,0.5,0.07,0.025,Potosí (Mining Zone)
Colavi - Canutillos,September 2019,Cadmium,0.12,10.0,0.01,12.0,1.0791812460476249,3.7,2.0,78.98,1.83,7.08,3.68,519.0,0.83,0.5,0.07,0.025,Potosí (Mining Zone)
Colavi - Canutillos,September 2019,Lead,34.7,20.0,0.02,1735.0,3.2392994791268923,3.7,2.0,78.98,1.83,7.08,3.68,519.0,0.83,0.5,0.07,0.025,Potosí (Mining Zone)
Colavi - Canutillos,September 2019,Zinc,79.2,601.0,0.601,131.78036605657238,2.119850709586754,3.7,2.0,78.98,1.83,7.08,3.68,519.0,0.83,0.5,0.07,0.025,Potosí (Mining Zone)
Cotagaita,August 2022,Arsenic,53.114999999999995,13.0,0.013,4085.7692307692305,3.6112738335069556,7.3,0.5,63.23,0.84,7.12,1.427177,430.125,,,,,Potosí (Mining Zone)
Cotagaita,August 2022,Cadmium,1.8,2.5,0.0025,720.0,2.8573324964312685,7.3,0.5,63.23,0.84,7.12,1.427177,430.125,,,,,Potosí (Mining Zone)
Cotagaita,August 2022,Lead,19.05,5.0,0.005,3810.0,3.5809249756756194,7.3,0.5,63.23,0.84,7.12,1.427177,430.125,,,,,Potosí (Mining Zone)
Cotagaita,August 2022,Zinc,116.195,225.0,0.225,516.4222222222222,2.7130049221707524,7.3,0.5,63.23,0.84,7.12,1.427177,430.125,,,,,Potosí (Mining Zone)
Cotagaita,August 2023,Arsenic,9.4,13.0,0.013,723.0769230769231,2.859184501292862,6.78,1.0,76.38,0.75,6.9,1.8857,254.0,,,,,Potosí (Mining Zone)
Cotagaita,August 2023,Cadmium,0.1,0.8,0.0008,125.0,2.0969100130080562,6.78,1.0,76.38,0.75,6.9,1.8857,254.0,,,,,Potosí (Mining Zone)
Cotagaita,August 2023,Lead,14.15,6.0,0.006,2358.3333333333335,3.3726051894766655,6.78,1.0,76.38,0.75,6.9,1.8857,254.0,,,,,Potosí (Mining Zone)
Cotagaita,August 2023,Zinc,69.5,124.0,0.124,560.483870967742,2.748563119427879,6.78,1.0,76.38,0.75,6.9,1.8857,254.0,,,,,Potosí (Mining Zone)
Cotagaita,December 2021,Arsenic,86.6,3.0,0.003,28866.666666666664,4.460396637297684,7.35,0.75,48.65,1.225,6.58,3.65,361.5,1.315,0.5,0.26,0.055,Potosí (Mining Zone)
