Station,Campaign,Date,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,pH,Clay_%,Organic_Matter_%,DO_mg_per_L,Fe_%,Mn_mg_per_kg,Al_%,S_%,Ca_%,P_%,Location
Puente Mendez,December 2023,2023-12-10,Lead,15.6,33.0,0.033,472.7272727272727,2.674610658476574,8.0,0.0,0.27,6.7,0.8596,340.0,,,,,Bolivia (Non-Mining)
Puente Mendez,December 2023,2023-12-10,Zinc,46.3,205.0,0.205,225.85365853658536,2.3538271299621987,8.0,0.0,0.27,6.7,0.8596,340.0,,,,,Bolivia (Non-Mining)
Puente Mendez,August 2023,2023-08-06,Arsenic,85.7,20.0,0.02,4285.0,3.631950826259217,7.7,0.0,8.05,8.93,3.8,201.0,,,,,Bolivia (Non-Mining)
Puente Mendez,August 2023,2023-08-06,Cadmium,0.5,0.5,0.0005,1000.0,3.0,7.7,0.0,8.05,8.93,3.8,201.0,,,,,Bolivia (Non-Mining)
Puente Mendez,August 2023,2023-08-06,Lead,32.3,3.0,0.003,10766.666666666666,4.03208126761144,7.7,0.0,8.05,8.93,3.8,201.0,,,,,Bolivia (Non-Mining)
Puente Mendez,August 2023,2023-08-06,Zinc,201.0,202.0,0.202,995.049504950495,2.997844687973865,7.7,0.0,8.05,8.93,3.8,201.0,,,,,Bolivia (Non-Mining)
Puente Mendez,August 2023,2023-08-06,Arsenic,66.1,20.0,0.02,3304.9999999999995,3.519171463821659,7.7,0.0,8.05,8.93,3.47,443.0,,,,,Bolivia (Non-Mining)
Puente Mendez,August 2023,2023-08-06,Cadmium,0.5,0.5,0.0005,1000.0,3.0,7.7,0.0,8.05,8.93,3.47,443.0,,,,,Bolivia (Non-Mining)
Puente Mendez,August 2023,2023-08-06,Lead,33.0,3.0,0.003,11000.0,4.041392685158225,7.7,0.0,8.05,8.93,3.47,443.0,,,,,Bolivia (Non-Mining)
Puente Mendez,August 2023,2023-08-06,Zinc,217.0,202.0,0.202,1074.2574257425742,3.0311083644019057,7.7,0.0,8.05,8.93,3.47,443.0,,,,,Bolivia (Non-Mining)
Puente Mendez,February 2024,2024-02-25,Arsenic,5.0,62.0,0.062,80.64516129032258,1.9065783148377649,8.2,26.7,1.7,7.24,2.7951,346.0,,,,,Bolivia (Non-Mining)
Puente Mendez,February 2024,2024-02-25,Cadmium,5.0,58.0,0.058,86.20689655172413,1.9355420107730814,8.2,26.7,1.7,7.24,2.7951,346.0,,,,,Bolivia (Non-Mining)
Puente Mendez,February 2024,2024-02-25,Lead,5.0,413.0,0.413,12.106537530266344,1.0830199526796178,8.2,26.7,1.7,7.24,2.7951,346.0,,,,,Bolivia (Non-Mining)
Puente Mendez,February 2024,2024-02-25,Zinc,40.0,25.0,0.025,1600.0,3.2041199826559246,8.2,26.7,1.7,7.24,2.7951,346.0,,,,,Bolivia (Non-Mining)
Puente Mendez,February 2024,2024-02-25,Arsenic,14.0,62.0,0.062,225.80645161290323,2.3537363461799843,8.2,26.7,1.7,7.24,4.6711,867.0,,,,,Bolivia (Non-Mining)
Puente Mendez,February 2024,2024-02-25,Cadmium,5.0,58.0,0.058,86.20689655172413,1.9355420107730814,8.2,26.7,1.7,7.24,4.6711,867.0,,,,,Bolivia (Non-Mining)
Puente Mendez,February 2024,2024-02-25,Lead,14.0,413.0,0.413,33.898305084745765,1.530177984021837,8.2,26.7,1.7,7.24,4.6711,867.0,,,,,Bolivia (Non-Mining)
Puente Mendez,February 2024,2024-02-25,Zinc,64.0,25.0,0.025,2560.0,3.4082399653118496,8.2,26.7,1.7,7.24,4.6711,867.0,,,,,Bolivia (Non-Mining)
